Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
YEAST 4,KNN,GEOMETRIC MEAN SCORE,0.3342159754589894,0.8262394276612643,0.745977513214604
YEAST 4,DT,ROC AUC,0.7864619770019292,0.7693062341018257,0.8247604738480834
YEAST 4,DT,F1,0.29770065150328184,0.23908795420430912,0.34211992265512314
YEAST 4,DT,GEOMETRIC MEAN SCORE,0.4897804885004718,0.723736835303137,0.7417863078613137
YEAST 4,GBC,ROC AUC,0.9268708506339867,0.8975934221703108,0.9280203489640824
YEAST 4,GBC,F1,0.2985151216957147,0.3624685782794925,0.39877087094728336
YEAST 4,GBC,GEOMETRIC MEAN SCORE,0.48072235586416606,0.7036620069365614,0.6660378143738158
VEHICLE (3),LR,ROC AUC,0.9899549464660852,0.9903062282918116,0.9905520077867513
VEHICLE (3),LR,F1,0.849210470939339,0.8574828869155262,0.8663348757731475
VEHICLE (3),LR,GEOMETRIC MEAN SCORE,0.8989000327107033,0.9171758537989287,0.9198727696178696
VEHICLE (3),KNN,ROC AUC,0.9121847381037177,0.9174876455444559,0.9133615186295476
VEHICLE (3),KNN,F1,0.5442730247779336,0.6457347351956353,0.6995574421665856
VEHICLE (3),KNN,GEOMETRIC MEAN SCORE,0.6432148478021344,0.8768888578460381,0.8496509221632639
VEHICLE (3),DT,ROC AUC,0.9153480563816843,0.9256198485007725,0.9434955844527666
VEHICLE (3),DT,F1,0.6435254298524465,0.7197737979645413,0.6868921225624994
VEHICLE (3),DT,GEOMETRIC MEAN SCORE,0.7606632503951716,0.9087658131704721,0.9021045227212778
VEHICLE (3),GBC,ROC AUC,0.9797158755268527,0.9849310606637167,0.9845454117152477
VEHICLE (3),GBC,F1,0.7450133185351315,0.7590447263909451,0.8031825707325819
VEHICLE (3),GBC,GEOMETRIC MEAN SCORE,0.7984706676965763,0.8741469216174594,0.8853296774110535
PAGE BLOCKS 0 (3),LR,ROC AUC,0.9197010384382875,0.9445790857673331,0.9475222106599077
PAGE BLOCKS 0 (3),LR,F1,0.38570115764429325,0.4542895998887596,0.5443792430798426
PAGE BLOCKS 0 (3),LR,GEOMETRIC MEAN SCORE,0.5114350195851044,0.8957963619469231,0.8951735930567857
PAGE BLOCKS 0 (3),KNN,ROC AUC,0.875091228408355,0.9193900823434282,0.8769362285270279
PAGE BLOCKS 0 (3),KNN,F1,0.5979600670128419,0.591806406700863,0.6854636006985372
PAGE BLOCKS 0 (3),KNN,GEOMETRIC MEAN SCORE,0.7019062371815898,0.8649376072377203,0.8489678310483546
PAGE BLOCKS 0 (3),DT,ROC AUC,0.8574114676796204,0.9342970620451592,0.941181575544627
