Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
YEAST 4,GBC,F1,0.2985151216957147,0.34207477777976897,0.4291010578122121
YEAST 4,GBC,GEOMETRIC MEAN SCORE,0.48072235586416606,0.6471687088814014,0.6660378143738158
VEHICLE (3),LR,ROC AUC,0.9899549464660852,0.9899901139096807,0.9912544204342697
VEHICLE (3),LR,F1,0.849210470939339,0.8484418051783992,0.8663348757731475
VEHICLE (3),LR,GEOMETRIC MEAN SCORE,0.8989000327107033,0.9198727696178696,0.9198727696178696
VEHICLE (3),KNN,ROC AUC,0.9121847381037177,0.9065476719970506,0.9121847381037177
VEHICLE (3),KNN,F1,0.5442730247779336,0.6743754320086186,0.6995574421665856
VEHICLE (3),KNN,GEOMETRIC MEAN SCORE,0.6432148478021344,0.8449452029482922,0.8496509221632639
VEHICLE (3),DT,ROC AUC,0.9153480563816843,0.9079476349653949,0.9300213578592276
VEHICLE (3),DT,F1,0.6435254298524465,0.6794924339602634,0.705108662076005
VEHICLE (3),DT,GEOMETRIC MEAN SCORE,0.7606632503951716,0.8745741690134734,0.8741806615382932
VEHICLE (3),GBC,ROC AUC,0.9797158755268527,0.9809625001770865,0.9823329734497744
VEHICLE (3),GBC,F1,0.7450133185351315,0.7479516972815983,0.7986278479385583
VEHICLE (3),GBC,GEOMETRIC MEAN SCORE,0.7984706676965763,0.8451453640982696,0.8708648733494804
PAGE BLOCKS 0 (3),LR,ROC AUC,0.9197010384382875,0.9436590544419208,0.9475222106599077
PAGE BLOCKS 0 (3),LR,F1,0.38570115764429325,0.4483655935444505,0.5467985380703826
PAGE BLOCKS 0 (3),LR,GEOMETRIC MEAN SCORE,0.5114350195851044,0.8917383404112046,0.8951735930567857
PAGE BLOCKS 0 (3),KNN,ROC AUC,0.875091228408355,0.8751503194925179,0.8759587476065496
PAGE BLOCKS 0 (3),KNN,F1,0.5979600670128419,0.6660079521332449,0.6808618258156429
