Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
SEGMENTATION (2),KNN,F1,0.9049206609462389,0.9023400486136859,0.9076380728554643
SEGMENTATION (2),KNN,GEOMETRIC MEAN SCORE,0.946222795127733,0.9799621257013231,0.9707058142288015
SEGMENTATION (2),DT,ROC AUC,0.9823232323232323,0.9821854912764005,0.9855716253443527
SEGMENTATION (2),DT,F1,0.9724770642201833,0.9696348404681738,0.9724770642201833
SEGMENTATION (2),DT,GEOMETRIC MEAN SCORE,0.9821732006591775,0.9820273863963044,0.9820286203084083
SEGMENTATION (2),GBC,ROC AUC,0.9976078971533517,0.9992424242424243,0.9981382001836547
SEGMENTATION (2),GBC,F1,0.9725872383364738,0.9739435555634932,0.979980745271265
SEGMENTATION (2),GBC,GEOMETRIC MEAN SCORE,0.9808832279293551,0.9809717342509863,0.9839241252444081
PAGE BLOCKS 1 3,LR,ROC AUC,0.9879520410240749,0.9796918740774672,0.9879520410240749
PAGE BLOCKS 1 3,LR,F1,0.6563462390605961,0.6918812472837895,0.6929900043459366
PAGE BLOCKS 1 3,LR,GEOMETRIC MEAN SCORE,0.7874000362894985,0.956387650070532,0.9569871996992871
PAGE BLOCKS 1 3,KNN,ROC AUC,0.9460246793403573,0.9886728094620043,0.9499685066422354
PAGE BLOCKS 1 3,KNN,F1,0.7441935064372103,0.6878806222026561,0.7441935064372103
PAGE BLOCKS 1 3,KNN,GEOMETRIC MEAN SCORE,0.876060835623404,0.9625733915529103,0.9146457079298693
PAGE BLOCKS 1 3,DT,ROC AUC,0.9429329223291087,0.9642779431974348,0.997253079350537
PAGE BLOCKS 1 3,DT,F1,0.8932852523257296,0.9295433145009416,0.9492305976806423
PAGE BLOCKS 1 3,DT,GEOMETRIC MEAN SCORE,0.9401558978457544,0.9624048244182076,0.9966192299728958
PAGE BLOCKS 1 3,GBC,ROC AUC,0.9983143896014659,0.9974649437573166,1.0
PAGE BLOCKS 1 3,GBC,F1,0.912160521359897,0.9295433145009416,0.9667372881355932
PAGE BLOCKS 1 3,GBC,GEOMETRIC MEAN SCORE,0.9604822944394724,0.9624048244182076,0.9977448748885748
YEAST 4,LR,ROC AUC,0.8828448343290102,0.8822498565892581,0.8839122775665526
YEAST 4,LR,F1,0.0,0.3304976756177851,0.38854502823969705
YEAST 4,LR,GEOMETRIC MEAN SCORE,0.0,0.8261145889170052,0.8498452829766988
YEAST 4,KNN,ROC AUC,0.8280659598169596,0.838399945884236,0.8320989975961219
YEAST 4,KNN,F1,0.18259697644439235,0.42958149855273847,0.3990751246868153
YEAST 4,KNN,GEOMETRIC MEAN SCORE,0.3342159754589894,0.7543386571463435,0.744093524862502
YEAST 4,DT,ROC AUC,0.7864619770019292,0.8266821793179329,0.8456232108270509
YEAST 4,DT,F1,0.29770065150328184,0.27034351375492516,0.3547524484995439
YEAST 4,DT,GEOMETRIC MEAN SCORE,0.4897804885004718,0.6487064097351356,0.7417863078613137
YEAST 4,GBC,ROC AUC,0.9268708506339867,0.8917848997499462,0.926932428896204
YEAST 4,GBC,F1,0.2985151216957147,0.34622155848570946,0.40057247753573394
YEAST 4,GBC,GEOMETRIC MEAN SCORE,0.48072235586416606,0.6304355395215877,0.6660378143738158
VEHICLE (3),LR,ROC AUC,0.9899549464660852,0.9900252511524896,0.9901303004714728
VEHICLE (3),LR,F1,0.849210470939339,0.8655674523084642,0.8587899409056448
VEHICLE (3),LR,GEOMETRIC MEAN SCORE,0.8989000327107033,0.9217676517989227,0.9198727696178696
VEHICLE (3),KNN,ROC AUC,0.9121847381037177,0.9085657606485504,0.9121847381037177
VEHICLE (3),KNN,F1,0.5442730247779336,0.6273853559385443,0.6897284697719717
VEHICLE (3),KNN,GEOMETRIC MEAN SCORE,0.6432148478021344,0.860195046526627,0.8478630011755808
VEHICLE (3),DT,ROC AUC,0.9153480563816843,0.9223198620526893,0.9153480563816843
VEHICLE (3),DT,F1,0.6435254298524465,0.7272674428512811,0.7171106624823315
VEHICLE (3),DT,GEOMETRIC MEAN SCORE,0.7606632503951716,0.8818125523290268,0.8798726187882043
VEHICLE (3),GBC,ROC AUC,0.9797158755268527,0.9825434797983642,0.9860196205726882
VEHICLE (3),GBC,F1,0.7450133185351315,0.7581423215538166,0.804242430564915
VEHICLE (3),GBC,GEOMETRIC MEAN SCORE,0.7984706676965763,0.8528777050332457,0.867898253745914
PAGE BLOCKS 0 (3),LR,ROC AUC,0.9197010384382875,0.9474245516765132,0.9478143929032311
PAGE BLOCKS 0 (3),LR,F1,0.38570115764429325,0.5150739539485218,0.5516252558868493
