Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
YEAST 4,GBC,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4,GBC,F1,4.0,3.0,2.0,1.0
YEAST 4,GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
VEHICLE (3),LR,ROC AUC,2.0,4.0,3.0,1.0
VEHICLE (3),LR,F1,3.0,4.0,2.0,1.0
VEHICLE (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VEHICLE (3),KNN,ROC AUC,3.0,4.0,1.0,2.0
VEHICLE (3),KNN,F1,4.0,3.0,1.0,2.0
VEHICLE (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
VEHICLE (3),DT,ROC AUC,1.0,4.0,3.0,2.0
VEHICLE (3),DT,F1,3.0,4.0,2.0,1.0
VEHICLE (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
VEHICLE (3),GBC,ROC AUC,4.0,3.0,2.0,1.0
VEHICLE (3),GBC,F1,3.0,4.0,2.0,1.0
VEHICLE (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),LR,ROC AUC,3.0,1.0,2.0,4.0
PAGE BLOCKS 0 (3),LR,F1,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (3),KNN,ROC AUC,4.0,3.0,1.0,2.0
PAGE BLOCKS 0 (3),KNN,F1,3.0,1.0,4.0,2.0
PAGE BLOCKS 0 (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (3),DT,ROC AUC,4.0,1.0,2.0,3.0
PAGE BLOCKS 0 (3),DT,F1,2.0,4.0,3.0,1.0
PAGE BLOCKS 0 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (3),GBC,ROC AUC,4.0,3.0,1.0,2.0
PAGE BLOCKS 0 (3),GBC,F1,3.0,2.0,4.0,1.0
PAGE BLOCKS 0 (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
GLASS (2),LR,ROC AUC,3.0,4.0,2.0,1.0
GLASS (2),LR,F1,4.0,3.0,2.0,1.0
GLASS (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
GLASS (2),KNN,ROC AUC,4.0,3.0,2.0,1.0
GLASS (2),KNN,F1,4.0,1.0,3.0,2.0
GLASS (2),KNN,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
GLASS (2),DT,ROC AUC,2.0,4.0,3.0,1.0
GLASS (2),DT,F1,4.0,2.0,3.0,1.0
GLASS (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
GLASS (2),GBC,ROC AUC,2.0,4.0,3.0,1.0
GLASS (2),GBC,F1,4.0,2.0,3.0,1.0
GLASS (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART,LR,ROC AUC,4.0,2.0,3.0,1.0
HEART,LR,F1,2.0,4.0,3.0,1.0
HEART,LR,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
HEART,KNN,ROC AUC,3.0,4.0,2.0,1.0
HEART,KNN,F1,4.0,2.0,3.0,1.0
HEART,KNN,GEOMETRIC MEAN SCORE,3.0,2.0,4.0,1.0
HEART,DT,ROC AUC,3.0,4.0,2.0,1.0
HEART,DT,F1,3.0,4.0,1.0,2.0
HEART,DT,GEOMETRIC MEAN SCORE,3.0,4.0,1.0,2.0
HEART,GBC,ROC AUC,3.0,4.0,2.0,1.0
HEART,GBC,F1,2.0,4.0,3.0,1.0
HEART,GBC,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
IRIS (2),LR,ROC AUC,2.5,2.5,2.5,2.5
IRIS (2),LR,F1,2.5,2.5,2.5,2.5
IRIS (2),LR,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS (2),KNN,ROC AUC,2.5,2.5,2.5,2.5
IRIS (2),KNN,F1,2.5,2.5,2.5,2.5
IRIS (2),KNN,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS (2),DT,ROC AUC,2.5,2.5,2.5,2.5
IRIS (2),DT,F1,2.5,2.5,2.5,2.5
IRIS (2),DT,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS (2),GBC,ROC AUC,2.5,2.5,2.5,2.5
IRIS (2),GBC,F1,2.5,2.5,2.5,2.5
IRIS (2),GBC,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS,LR,ROC AUC,2.5,2.5,2.5,2.5
IRIS,LR,F1,2.5,2.5,2.5,2.5
IRIS,LR,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS,KNN,ROC AUC,2.5,2.5,2.5,2.5
IRIS,KNN,F1,2.5,2.5,2.5,2.5
IRIS,KNN,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS,DT,ROC AUC,2.5,2.5,2.5,2.5
IRIS,DT,F1,2.5,2.5,2.5,2.5
IRIS,DT,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS,GBC,ROC AUC,2.5,2.5,2.5,2.5
IRIS,GBC,F1,2.5,2.5,2.5,2.5
IRIS,GBC,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
ECOLI,LR,ROC AUC,3.0,2.0,4.0,1.0
ECOLI,LR,F1,4.0,3.0,2.0,1.0
ECOLI,LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
ECOLI,KNN,ROC AUC,2.0,4.0,3.0,1.0
ECOLI,KNN,F1,2.0,4.0,3.0,1.0
ECOLI,KNN,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
ECOLI,DT,ROC AUC,4.0,3.0,2.0,1.0
ECOLI,DT,F1,4.0,2.0,3.0,1.0
ECOLI,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
ECOLI,GBC,ROC AUC,4.0,3.0,2.0,1.0
ECOLI,GBC,F1,3.0,4.0,2.0,1.0
ECOLI,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 1 (2),LR,ROC AUC,4.0,1.0,3.0,2.0
YEAST 1 (2),LR,F1,4.0,3.0,2.0,1.0
YEAST 1 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
