Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
VOWEL (2),KNN,F1,0.6734163085337949,0.8753714341132722,0.8983355618055235,0.8130692623307516
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,0.7162514881901628,0.887326737991482,0.9099082440638068,0.844602109487065
VOWEL (2),DT,ROC AUC,0.9291955895166049,0.8716075944204258,0.8849193671375423,0.986730181079621
VOWEL (2),DT,F1,0.8779268112384795,0.7501092540226396,0.6985961561120628,0.9156340959564053
VOWEL (2),DT,GEOMETRIC MEAN SCORE,0.9215754815798115,0.8599279210797419,0.8675796337731121,0.9564352905243131
VOWEL (2),GBC,ROC AUC,0.9935040212987561,0.9964366138571956,0.9976244959337772,0.9994802990054039
VOWEL (2),GBC,F1,0.897938240051605,0.8482164110706252,0.8579993878115862,0.9453760875266537
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,0.9401144701623296,0.9147484937172735,0.9639347949128654,0.9915700933027685
NEW THYROID 2,LR,ROC AUC,0.9994996476391824,0.9992494714587737,0.9997498238195912,1.0
NEW THYROID 2,LR,F1,0.9590852713178294,0.9590852713178294,0.9590852713178294,0.965782945736434
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,0.9916470541620991,0.9916470541620991,0.9916470541620991,0.9930482659130552
NEW THYROID 2,KNN,ROC AUC,0.9980690627202256,0.9957258632840029,0.9955567300916139,0.9984090909090909
NEW THYROID 2,KNN,F1,0.9392705036789971,0.9452537917087969,0.9352057245080501,0.9722467138523762
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,0.9411967557930854,0.9826865471352533,0.986004802725291,0.9944340755448133
NEW THYROID 2,DT,ROC AUC,0.9309478505990133,0.9561028893587034,0.961645525017618,0.969131430584919
NEW THYROID 2,DT,F1,0.8851706433101781,0.9027484143763214,0.9270636340403782,0.9306313841197562
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,0.9283167964439186,0.9549739481894883,0.9603456503730727,0.967016048390114
NEW THYROID 2,GBC,ROC AUC,0.9947463002114165,0.9962473572938689,0.9944961240310077,0.9982487667371389
NEW THYROID 2,GBC,F1,0.9125034722608029,0.9245806824754192,0.9270636340403782,0.9424442142924395
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,0.9460886818077534,0.9530538326818991,0.9603456503730727,0.9755505016445529
NEW THYROID 1,LR,ROC AUC,1.0,1.0,1.0,1.0
NEW THYROID 1,LR,F1,0.9866046511627907,0.9794256825075834,0.9866046511627907,0.9866046511627907
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,0.9971975764980878,0.9958158260214506,0.9971975764980878,0.9971975764980878
