Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
PAGE BLOCKS 1 3,KNN,F1,0.7441935064372103,0.7133000403551252,0.7441935064372103
PAGE BLOCKS 1 3,KNN,GEOMETRIC MEAN SCORE,0.876060835623404,0.94214075389464,0.9134580547542634
PAGE BLOCKS 1 3,DT,ROC AUC,0.9429329223291087,0.9966287792029317,0.9971870705451213
PAGE BLOCKS 1 3,DT,F1,0.8932852523257296,0.9531298151001542,0.9587671509281679
PAGE BLOCKS 1 3,DT,GEOMETRIC MEAN SCORE,0.9401558978457544,0.9966095624884046,0.9971784675743158
PAGE BLOCKS 1 3,GBC,ROC AUC,0.9983143896014659,1.0,1.0
PAGE BLOCKS 1 3,GBC,F1,0.912160521359897,0.9814635042241696,0.9461794076833827
PAGE BLOCKS 1 3,GBC,GEOMETRIC MEAN SCORE,0.9604822944394724,0.9977448748885748,0.9783825272639417
YEAST 4,LR,ROC AUC,0.8828448343290102,0.8864573803959198,0.8839122775665526
YEAST 4,LR,F1,0.0,0.2748765861998447,0.3879925275983367
YEAST 4,LR,GEOMETRIC MEAN SCORE,0.0,0.8228854301985474,0.8483628911742271
YEAST 4,KNN,ROC AUC,0.8280659598169596,0.8884283362279175,0.8639218126098871
YEAST 4,KNN,F1,0.18259697644439235,0.39602123479450557,0.43729257330551874
YEAST 4,KNN,GEOMETRIC MEAN SCORE,0.3342159754589894,0.8403046006512932,0.764882252529608
YEAST 4,DT,ROC AUC,0.7864619770019292,0.8791307286737693,0.8415005453327851
YEAST 4,DT,F1,0.29770065150328184,0.37059883428350826,0.3625577828568505
YEAST 4,DT,GEOMETRIC MEAN SCORE,0.4897804885004718,0.7414779416594919,0.7496142082499402
YEAST 4,GBC,ROC AUC,0.9268708506339867,0.938610700303672,0.9369483812885122
YEAST 4,GBC,F1,0.2985151216957147,0.3951442586213476,0.44002064315032785
YEAST 4,GBC,GEOMETRIC MEAN SCORE,0.48072235586416606,0.703574361845177,0.6946440216895724
VEHICLE (3),LR,ROC AUC,0.9899549464660852,0.991956395170378,0.993782776776759
VEHICLE (3),LR,F1,0.849210470939339,0.8512694384385768,0.8718163287239986
VEHICLE (3),LR,GEOMETRIC MEAN SCORE,0.8989000327107033,0.9661423415462823,0.9565944818876342
VEHICLE (3),KNN,ROC AUC,0.9121847381037177,0.9415682532842258,0.9318390725261465
VEHICLE (3),KNN,F1,0.5442730247779336,0.6932371053649207,0.7049769799432792
VEHICLE (3),KNN,GEOMETRIC MEAN SCORE,0.6432148478021344,0.8727737566973809,0.8575047180666913
VEHICLE (3),DT,ROC AUC,0.9153480563816843,0.9565667293799733,0.9469236853844554
VEHICLE (3),DT,F1,0.6435254298524465,0.7132367596263306,0.7508504946944086
VEHICLE (3),DT,GEOMETRIC MEAN SCORE,0.7606632503951716,0.9082482385458337,0.9039018616152446
VEHICLE (3),GBC,ROC AUC,0.9797158755268527,0.9869688093411144,0.9896029398214727
VEHICLE (3),GBC,F1,0.7450133185351315,0.8236963468806873,0.8479008468473226
VEHICLE (3),GBC,GEOMETRIC MEAN SCORE,0.7984706676965763,0.9034010353881654,0.9304732574464776
PAGE BLOCKS 0 (3),LR,ROC AUC,0.9197010384382875,0.947921078065319,0.9557246272140805
PAGE BLOCKS 0 (3),LR,F1,0.38570115764429325,0.4682001625398534,0.5552729448254381
PAGE BLOCKS 0 (3),LR,GEOMETRIC MEAN SCORE,0.5114350195851044,0.8984898811695101,0.8951735930567857
PAGE BLOCKS 0 (3),KNN,ROC AUC,0.875091228408355,0.9070118831703212,0.8851361055938833
PAGE BLOCKS 0 (3),KNN,F1,0.5979600670128419,0.6648797998120703,0.6858246050933391
PAGE BLOCKS 0 (3),KNN,GEOMETRIC MEAN SCORE,0.7019062371815898,0.8609704220561025,0.8489678310483546
PAGE BLOCKS 0 (3),DT,ROC AUC,0.8574114676796204,0.9425397008419402,0.9432331135653454
